你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第1批，共4批）---

ID | 原文 | 译文
359 | 大人不相信我吗？希望是我多想了吧…… | You don’t trust me, my lord? I really hope I’m just overthinking this…
360 | 我会先查清楚，如果真有人敢打食物的主意，我不会放过他。 | I’ll look into it first. If someone really has their eye on our Food, I won’t let them get away with it.
361 | 领袖大人英明！ | Wise and brilliant, my Leader!
362 | 领袖大人，我的妹妹很容易生病，您有什么办法让她增强体质吗？ | My liege, my younger sister falls ill very easily. Do you know any way to help strengthen her constitution?
363 | 应该是因为缺少运动，我会派人带她锻炼身体，其他居民也一起参加，之后还可以举办运动会。 | It’s probably because she isn’t getting enough exercise. I’ll have someone take her to work out, and the other residents can join in as well. After that, we can even hold a sports meet.
364 | 谢谢领袖大人！有您的安排，妹妹和其他居民一定会越来越健康！ | Thank you, my Leader! With your arrangements, my sister and the other residents are sure to grow healthier and healthier!
365 | 每个人体质不同，她天生体弱多病，我也没什么办法。 | Everyone’s built differently. She was born frail and sickly, and there’s really nothing I can do about it.
366 | 我们都以为领袖无所不能，连您都没办法，妹妹只能这样活下去吗…… | We all thought the Leader could do anything. If even you can’t help, does that mean my sister has to go on living like this…
367 | 领袖大人，我们挖矿用的矿镐全锈断了！ | My Lord, all our mining pickaxes have rusted through and snapped!
368 | 地下环境潮湿，我会安排定期更换一批新的工具！ | The underground’s so damp, I’ll arrange to swap in a fresh set of tools on a regular basis!
369 | 谢谢领袖大人！我们会更努力工作的！ | Thank you, my Leader! We’ll work even harder!
370 | 末日下能用工具用就不错了，你要自己克服下困难。 | In the apocalypse, you’re lucky the tools still work; you’ll have to push through the difficulties yourself.
371 | 好，我明白了，领袖大人。 | All right, I understand, my Leader.
372 | 领袖大人，避难所里流传着关于您的离谱谣言，有说您会抛弃我们的，请您惩治那些传谣言的人。 | My Leader, there are outrageous rumors about you spreading through the shelter—some say you’re going to abandon us. Please punish those who are spreading these lies.
373 | 随他去吧，谣言止于智者。 | Let him talk. Rumors stop with the wise.
374 | 开始大家也都不信，但现在谣言越传越厉害，真的不用管吗…… | At first no one believed it either, but now the rumors are getting worse and worse. Are we really just going to ignore them..
375 | 谣言继续传下去，恐怕假的也会传成真的，我会找出谣言源头。 | If these rumors keep spreading, I’m afraid the lies will start sounding like the truth. I’ll track down where they started.
376 | 领袖英明！传出这些谣言的人一定居心叵测。 | Our leader is wise! Whoever started these rumors must have ulterior motives.
377 | 领袖大人，墙渗水了！被褥长蘑菇了啊啊啊！ | My Leader, the walls are leaking! There are mushrooms growing in the bedding, aahhh!
378 | 刚好，你今晚不用吃饭了，吃蘑菇就好了。 | Perfect, you don’t need dinner tonight—you can just eat mushrooms.
379 | 红伞伞，白杆杆，吃完一起躺板板... | Red cap, white stem, once you eat it, you’ll all end up lying stiff as a board...
380 | 我会派铁匠修补下墙壁。 | I’ll have the blacksmith patch up the wall.
381 | 领袖大人考虑的太周全了，谢谢领袖大人！ | You’ve thought of absolutely everything, my Leader. Thank you, my Leader!
382 | 领袖大人，有军火贩子趁您出海时，兜售自制火枪，那些火枪很容易走火伤人，真担心有人已经买了…… | My Lord, while you were out at sea, some arms dealers started peddling homemade muskets. Those things misfire easily and can seriously hurt people. I’m really worried someone might have already bought one..
383 | 居然敢在我的岛上兜售军火，真是活腻了，我会解决这件事。 | They’ve got the nerve to peddle weapons on my island? They must have a death wish. I’ll take care of this myself.
384 | 好！他们不敢上岛，只敢在岸边兜售火枪，一看就是一群懦夫。 | Hah! They don’t even dare set foot on the island—they just skulk along the shore hawking muskets. You can tell they’re a bunch of cowards at a glance.
385 | 随他去吧，居民们都不会用武器，不会有人买。 | Let him be. The residents don’t know how to use weapons, so no one’s going to buy any.
386 | 可是领袖大人，年幼的孩童容易被蛊惑，万一枪支走火…… | But, my Leader, children are so easily swayed—if a gun were to go off by accident..
387 | 领袖大人，岛屿上出现了不少自称航海家的人，总想让人上他们的船，真担心有人被骗。 | My Lord, a bunch of people calling themselves navigators have shown up on the island, all trying to get others onto their ships. I’m really worried someone might get scammed.
388 | 很可能是贩奴团伙，居然敢潜入我的岛屿，我会让他们有来无回。 | They’re most likely a slave-trading gang. To dare sneak onto my island—none of them are getting out alive.
389 | 领袖大人霸气！ | Our leader is so badass!
390 | 岛上最近没有收到失踪人口的报告，你应该是有什么误会。 | There haven’t been any missing-person reports on the island lately—you must be mistaken.
391 | 可能真的是我多想了，希望不会有人出事吧。 | Maybe I really am just overthinking it. I just hope nothing happens to anyone.
392 | 领袖大人，最近老是打雷下雨，有时候睡着了也被惊雷劈醒，真担心哪天被雷劈中…… | My liege, there’s been thunder and rain nonstop lately. Sometimes I even get jolted awake by a thunderclap, and I’m really worried that one of these days I’ll get struck by lightning…
393 | 确实得防止天雷伤人， 我会尽快让人安装避雷针，不会让大家出事。 | We really do need to make sure no one gets hit by lightning, so I’ll have lightning rods installed as soon as possible. I won’t let anything happen to anyone.
394 | 太好了！不用担心被雷劈了，谢谢领袖大人！ | Awesome! No need to worry about getting struck by lightning anymore, thank you, my liege!
395 | 有点杞人忧天了，放心，人被雷劈中的概率非常低。 | You’re overthinking it. Relax, the odds of someone getting struck by lightning are really low.
396 | 概率很低，但不是完全没可能，只能祈祷不要有意外了…… | The odds are tiny, but it’s not completely impossible. All we can do is pray nothing goes wrong..
397 | 领袖大人，我很喜欢晚上看书，不知道怎么回事，我眼睛越来越看不清楚了，刚才差点没认出您。 | My Lord Leader, I really like reading at night, but somehow my eyesight is getting worse and worse. I almost didn’t recognize you just now.
398 | 应该是眼睛近视了，我会给你配眼镜，戴上就能看清，以后别在昏暗光线下看书了，让眼睛多休息。 | Looks like you’re nearsighted. I’ll get you a pair of glasses—once you put them on, you’ll be able to see clearly. From now on, don’t read in dim light, and let your eyes rest more.
399 | 就是戴在眼睛前的玻璃圆片吗？谢谢领袖，我终于能重新看清楚了！ | You mean those little glass disks you wear in front of your eyes? Thank you, Leader, I can finally see clearly again!
400 | 以后别看书了，休息一段时间视力也许会恢复。 | Stop reading for now. If you give your eyes a break for a while, your vision might recover.
401 | 会恢复吗？我昨天看不清差点掉洞里了。 | Will it get better? I could barely see yesterday and almost fell into a hole.
402 | 领袖大人，有不少人嫌找厕所麻烦，在岛上随地大小便，我真的忍受不了。 | Commander, a lot of people think going to the restroom is too much trouble and just relieve themselves anywhere on the island. I really can’t stand it.
403 | 他们可能实在太着急了，大家以后都穿上厚底鞋出门就行。 | They were probably just in too much of a rush. From now on, everyone should just go out wearing platform shoes.
404 | 可是——这样好像没什么用，居民们都快忍不了了…… | But—this doesn’t really seem to help, and the residents are about to lose their patience..
405 | 我会在各个建筑装修带抽水马桶的厕所，尽快解决这个问题。 | I’ll install restrooms with flush toilets in every building and get this fixed as soon as possible.
406 | 真的吗！不愧是人人尊崇的领袖大人，我立刻去告诉其他居民。 | Really?! As expected of our revered leader, I’ll go tell the other residents right away.
407 | 领袖大人，居民们都觉得纯色墙壁单调，我们可以画一些壁画，装饰宿舍吗？ | Leader, the residents all feel the plain-colored walls are too dull. Can we paint some murals to decorate the Dormitory?
408 | 当然可以，居民们居然会画壁画，哈哈，看来咱们避难所真的是卧虎藏龙啊。 | Of course! Who would've thought our residents could paint murals, haha. Looks like our shelter is really full of hidden talents.
409 | 谢谢领袖大人，只是有几个人会画简单壁画，不过我们一定会好好画。 | Thank you, my Leader. Only a few of us can paint simple murals, but we’ll make sure to do our very best.
410 | 居住环境简单干净就好，不要浪费时间干没用的事。 | A simple, clean place to live is enough—don’t waste time on pointless stuff.
411 | 是……领袖大人，我明白了，我会转告其他居民。 | Y-yes… Leader, I understand. I’ll let the other residents know.
412 | 领袖大人，听说有岛屿天花病毒蔓延，死了很多人，真担心我们也—— | My Lord, I heard that a smallpox outbreak has hit one of the islands and many people have died. I’m really worried we’ll—
413 | 不会的，我会安排所有人接种天花疫苗，绝不会让病毒在岛上传播。 | No, I’ll make sure everyone gets the smallpox vaccine. I will not allow the virus to spread on this island.
414 | 领袖大人威武！有领袖大人庇护，我们的岛屿一定会越来越强！ | Glory to our Leader! With our Leader watching over us, our island is sure to grow stronger and stronger!
415 | 我们的岛屿和他们隔着茫茫大海，病毒不会传到这里的。 | Our island is separated from them by a vast ocean; the virus won’t reach us here.
416 | 可是部队经常需要出海探索 ……希望不会有意外吧。 | But the troops often have to head out to sea on expeditions… Let’s hope nothing goes wrong.
417 | 领袖大人，有了您给的飞梭后，我们织布快了很多，但是现在棉纱总不够用，您有什么办法吗？ | My Lord, ever since you gave us the flying shuttle, our weaving has gotten much faster, but now we’re always short on cotton yarn. Do you have any ideas?
418 | 是我的问题，居然忘了让人送珍妮机过去，用珍妮机纺纱就能解决。 | This is on me—I actually forgot to have someone deliver the Jenny Machine over. Once we use the Jenny Machine to spin the yarn, the problem’s solved.
419 | 太好了，我们会更努力纺织，让岛上所有人都有穿不完的新衣服！ | Fantastic, we’ll work even harder at the loom so everyone on the island has an endless supply of brand-new clothes to wear!
420 | 少睡少偷懒，加班加点纺纱不就行了。 | Sleep less, stop slacking off, and just put in some overtime at the spinning wheel.
421 | 我们已经几乎不休息了，真担心这样下去，会有人累倒。 | We’ve barely had any rest. I’m really worried that if this keeps up, someone’s going to collapse.
422 | 领袖大人，今天的饮用水有股奇怪的味道，我怀疑是水源有问题，可能有人偷偷把污水排放到河里！ | My Lord, the drinking water tastes strange today. I suspect there’s something wrong with the source—someone might be secretly dumping sewage into the river!
423 | 没有人敢这么做，估计是你的味觉出了问题，找时间去医院看看。 | No one else would dare do that. My guess is your sense of taste is off—find some time and go to the Infirmary for a checkup.
424 | 我吃其他东西的时候，没有觉得味道奇怪……领袖，我去医院看看。 | When I eat other things, they don’t taste strange… Leader, I’ll go to the Infirmary.
425 | 刚才确实有人跟我报告，有人偷排污水，我正准备处理这件事。 | Someone did just report to me that someone was secretly dumping wastewater, and I was just about to deal with it.
426 | 果然是这样！领袖大人，揪出罪魁祸首后千万不要轻饶他。 | I knew it! Leader, once you’ve dragged out the real culprit, don’t you dare let him off easy.
427 | 领袖大人，我摔了一跤后，手臂没有伤口但一直很痛，您知道是怎么回事吗？ | My liege, I took a fall and now my arm really hurts even though there’s no wound. Do you know what might be going on?
428 | 很有可能骨折了，你尽量不要动手臂，我安排医生给你拍X光片看看。 | It’s very likely you’ve fractured it. Try not to move your arm, and I’ll arrange for the doctor to take an X-ray.
429 | 用那个能透过皮肤拍照的机器？！谢谢领袖大人，我终于能知道我的手有什么问题了。 | With that machine that can take photos through skin?! Thank you, my leader, I can finally find out what’s wrong with my hand.
430 | 不用管，摔一跤应该没什么事，过几天就好了。 | Don’t worry about it, it’s just a fall. You’ll be fine in a few days.
431 | 真的吗？领袖，很多天了，我的手臂越来越痛……不像会好转。 | Really? Leader, it’s been days—my arm just keeps hurting more and more... it doesn’t feel like it’s going to get better.
432 | 领袖大人，岛上有些地方晚上太暗了，走夜路真不方便，可以请您加装一些路灯吗? | My Lord, some parts of the island get really dark at night, and it’s hard to walk around. Could you please install some more streetlights?
433 | 别走夜路就行，岛上没有多余的资源去解决这事。 | Just stay off the roads at night. The island doesn’t have the spare resources to deal with that.
434 | ……晚上不能出门吗，看来除了这样，没别的办法了。 | …So I can’t go out at night? Looks like there’s no other way, then.
435 | 确实是我考虑不周，我会尽快派人去安装路灯。 | You’re right, I didn’t think this through. I’ll send someone to install the streetlights as soon as possible.
436 | 领袖大人威武！居民们都会非常感谢您！ | You're amazing, my Leader! The residents will all be truly grateful to you!
437 | 领袖大人，最近有人在路上横冲直撞飙车，请您治治这些飙车党吧。 | Leader, someone’s been street racing and driving like maniacs lately. Please crack down on these speed freaks.
438 | 居然有这种事，我会尽快制定交通规则，也会惩戒飙车党。 | I can’t believe this is happening. I’ll draw up traffic regulations as soon as possible and crack down on these speed freaks.
439 | 太好了，有您的惩戒，他们肯定不敢开车乱撞了。 | Fantastic. With your punishment hanging over them, they’ll definitely think twice before driving around like maniacs.
440 | 以后走路小心点就行，注意给开车的人让路。 | Just watch where you’re walking from now on, and make sure to give way to drivers.
441 | 领袖，大家已经很小心了，希望不要有大的交通事故。 | Leader, everyone’s already being very careful, we just hope there won’t be any serious traffic accidents.
442 | 领袖大人，隔壁邻居总在半夜装修，我要被电钻声折磨的精神衰弱了，请领袖大人帮帮我吧。 | My Leader, the neighbor next door keeps doing renovation work in the middle of the night. The sound of the power drill is driving me to a nervous breakdown—please, My Leader, you have to help me.
443 | 影响别人睡觉确实过分，我会让他注意装修时间。 | It is really out of line to disturb other people’s sleep. I’ll tell him to stick to proper renovation hours.
444 | 谢谢领袖大人，我以后应该能睡好觉了！ | Thank you, my Leader. I should finally be able to sleep well from now on!
445 | 这种小事你自己能解决，直接找上门跟他理论吧。 | You can handle something this minor on your own—just go straight to him and argue it out face-to-face.
446 | 我独自一人不敢上门，这样下去，我只怕真的会发疯。 | I don’t dare go over there alone. If this keeps up, I really am going to lose my mind.
447 | 领袖大人，海边风大浪大，太潮湿了，门窗也被腐蚀生锈了，您有什么办法吗？ | My Leader, the wind and waves are fierce by the sea and it’s so damp that the doors and windows have started to corrode and rust. Do you have any solution?
448 | 早晚多开窗通风就好，风会吹走湿气。 | Just make sure to open the windows more often in the morning and at night; the breeze will carry the dampness away.
449 | 可是领袖，早晚开窗的话，湿气就会进入室内了…… | But Leader, if we open the windows in the early morning and evening, all that damp air will get inside…
450 | 最近确实太潮湿，别担心，我立刻安排人在各个建筑放干燥剂，再让人用除湿机好好除湿气。 | It really has been too damp lately. Don’t worry, I’ll immediately have people put desiccant in every building and run dehumidifiers to pull the moisture out properly.
451 | 多谢领袖大人！我们也会早晚关窗，不让湿气进入室内！ | Thank you so much, my Leader! We’ll make sure to close the windows in the mornings and evenings so the damp air doesn’t get inside!
452 | 领袖大人，谢谢您收留我们，这是我们的一点心意，请您收下！ | My Lord Leader, thank you for taking us in. This is a small token of our gratitude—please accept it!
453 | 我会珍视你们的心意，也希望你们在避难所过的开心！ | I’ll treasure the kindness you’ve shown me, and I hope you have a great time here in the shelter!
454 | 领袖大人，谢谢您让我们有了容身之处，请您一定收下这些<font color =#0b9303>物资</font>，不然我们无法心安理得住在这里…… | My lord, thank you for giving us a place to stay. Please, you must accept these <font color =#0b9303>supplies</font>, or we won’t feel right about living here..
455 | 也好，我会好好利用这些物资提升实力，更好的庇护大家。 | All right. I’ll make good use of these supplies to grow stronger, so I can better protect everyone.
456 | 谢谢领袖大人！有您的庇护，我们不用再担惊受怕了。 | Thank you, my lord Leader! With your protection, we no longer have to live in fear.
457 | 领袖大人，是您一直辛苦经营，才让我们有这么干净舒适的居所，请您一定要收下这些<font color =#0b9303>谢礼</font>。 | My Lord Leader, it’s only thanks to your tireless efforts that we have such a clean and comfortable place to live, so please, you must accept these <font color =#0b9303>tokens of our gratitude</font>.
458 | 简直是雪中送炭！谢谢你们，我会继续好好经营，让大家的生活越来越好。 | This is a real lifesaver! Thank you all—I’ll keep running things well so everyone’s life just keeps getting better.
459 | 能帮到您真是太好了，是您给了我们幸福无忧的生活，我们会继续给您收集物资。 | I’m so glad I could help you. It’s thanks to you that we can live such a carefree, happy life, and we’ll keep gathering supplies for you.
460 | 领袖大人，丧尸一直攻击我们避难所，希望这些<font color =#0b9303>物资</font>能助力避难所发展下去，让我们能够一直住在这里。 | Leader, the zombies keep launching Attack on our shelter. I hope these<font color =#0b9303>supplies</font>can help our shelter keep growing so we can keep living here.
461 | 谢谢大家支持，我会物尽其用，壮大避难所，铲除威胁，不会让大家流离失所的。 | Thank you all for your support. I’ll make the most of every resource, grow our shelter, wipe out every threat, and I won’t let any of you be driven from your home.
462 | 领袖大人威武！能成为您的子民，我们无比荣幸。 | Mighty leader! It is our greatest honor to become your subjects.
463 | 领袖大人，我们用下海采的珍珠和贝壳，去市集换了不少<font color =#0b9303>物资</font>，都在这里，领袖一定要收下。 | My liege, we traded the pearls and shells we gathered from the sea at the market for quite a lot of <font color =#0b9303>supplies</font>. They’re all here—please, you must accept them.
464 | 大家总是给我惊喜，真心谢谢你们。 | You all keep surprising me—thank you, truly.
465 | 领袖大人，我们都不想当只会闲逛的人，建设岛屿，人人有责！ | My Lord, none of us want to just wander around doing nothing—everyone has a part to play in building up this island!
466 | 领袖大人您终于来了！我今天下矿时捡到一个布袋，里面居然装满了<font color =#0b9303>钻石</font>，终于可以交给您了。 | My Leader, you’re finally here! When I went mining today, I found a cloth sack, and it was actually filled with <font color =#0b9303>Gems</font>. I can finally hand them over to you.
467 | 钻石？！你太厉害了，我们有再多钻石都不嫌多。 | Gems?! You’re amazing—no matter how many Gems we have, it’s never enough.
468 | 哈哈，领袖喜欢就好，我工作时多留意下，说不定还能捡到。 | Haha, as long as the Leader likes it. I’ll keep an eye out while I’m on the job—who knows, I might even pick one up.
469 | 领袖大人，我今天闲逛时在地铁站里发现一袋<font color =#0b9303>钻石</font>，我赶紧跑来找您，您一定用得上。 | My Leader, I was wandering around today and found a bag of <font color =#0b9303>Gems</font> at the subway station, so I rushed over to bring them to you—you can definitely put them to good use.
470 | 当然用得上！而且是越多越好！ | Of course we can use them—and the more, the better!
471 | 明白！领袖大人，我会转告其他居民，发现钻石就给您送来。 | Understood! Leader, I’ll let the other residents know to bring you any Gems they find.
472 | 领袖大人，民居被子太薄，我们经常冷醒，这样下去可能会有人生病。 | My Lord, the blankets in the houses are too thin. We keep waking up from the cold, and if this goes on someone might get sick.
473 | 地下确实阴冷，我立刻给大家安排厚被子。 | It really is damp and chilly down here, I immediately got everyone some thick quilts.
474 | 谢谢领袖大人，哈哈，我们会有温暖舒适的床了。 | Thank you, my Leader, haha, we’ll finally have warm, comfy beds.
475 | 有就不错了，末日资源匮乏，大家先凑合睡吧。 | Hey, at least we’ve got something. Resources are scarce at the end of the world, so just make do and get some sleep for now.
476 | 看来只能靠发抖取暖了，估计很快就会有人病倒…… | Looks like all we can do is shiver to keep warm. At this rate, someone’s bound to fall ill before long…
477 | 领袖大人，宿舍设施实在简陋了些，能麻烦您做一些提升吗？ | My Leader, the Dormitory is really a bit too basic right now—could I trouble you to upgrade it a little?
478 | 有个地方睡觉就不错了，不管怎样，也比大家在外面被丧尸追着跑好。 | Having a place to sleep at all is already something. Anyway, it’s still better than everyone getting chased around by zombies outside.
479 | 领袖，住在这样的地方，其实跟在外面的时候差不多…… | Leader, living in a place like this actually isn’t that different from being outside..
480 | 我立刻提升民居舒适度，希望大家能住的舒服开心。 | I’ll immediately improve the comfort of the housing so everyone can live comfortably and happily.
481 | 领袖大人，您对我们太好了……我们会更努力工作来报答您！ | My lord, you’re far too kind to us… We’ll work even harder to repay you!
482 | 书架上的书都太好看了，我全都看完了，领袖大人，您可以再补充一些新书吗？ | All the books on the shelf looked so good that I’ve finished every single one. Leader, could you add some new ones for me?
483 | 当然可以，我尽快补充一些新书，大家喜欢我挑的书就好。 | Of course. I’ll add some new books as soon as I can—if you’re enjoying the ones I pick out, that’s all that matters.
484 | 谢谢领袖大人，新书源源不断的日子，真的太幸福了！ | Thank you, my liege. Having new books coming in nonstop—this is pure bliss!
485 | 新书难找，把那些旧书再多看几遍吧。 | New releases are hard to come by—just reread those old books a few more times.
486 | 可是书架上的书我们已经看了很多遍，书都快被翻烂了…… | But we’ve already read the books on the shelf so many times that they’re practically falling apart..
487 | 民居的灯太暗了，很影响生活起居，领袖大人能让灯变亮些吗？ | The lights in the houses are way too dim, it really affects our daily life. Could you brighten them a bit, Leader?
488 | 我觉得民居灯够亮了，多在外面干活，少回民居休息。 | I think the houses are bright enough. Spend more time working outside and less time resting indoors.
489 | 领袖觉得我们偷懒了吗，我们干活一直很努力…… | Does the leader think we’ve been slacking off? We’ve been working really hard..
490 | 当然可以，灯光太暗不仅影响生活，还会损伤视力，之前是我疏忽了。 | Of course. Dim lighting doesn’t just affect your daily life, it can also damage your eyesight—that was my oversight before.
491 | 终于不用担心撞到东西了，果然是总为我们着想的领袖大人！ | Now we finally don’t have to worry about bumping into things anymore. Our leader really is always thinking of us!
492 | 厨房的厨具和火候都不够，做出来的东西味道很怪，居民们胃口变差了好多。 | The kitchen’s tools and heat control just aren’t up to par, so the food comes out tasting weird, and the residents’ appetites have really dropped.
493 | 是我的疏忽，我尽快升级厨房，大家吃饱吃好才能专心工作。 | That was my oversight. I’ll Upgrade the kitchen as soon as I can so everyone can eat well and stay focused on their work.
494 | 领袖大人对我们太好了，居民们吃饱了干活肯定会更有劲。 | Our Leader treats us so well. When the residents are well fed, they’ll definitely work even harder.
495 | 这个我知道，最避难所事务繁多，厨房的事下次再说吧。 | I know, I know. The Refuge has a lot going on—let’s talk about the kitchen next time.
496 | 我明白了，不知道还要继续忍受多久的黑暗料理…… | Got it. I just don’t know how much longer I’ll have to endure this nightmare cooking..
497 | 领袖大人，餐桌摇摇晃晃的，今天差点整个翻了，大家吃饭都吃的不安心。 | My Lord Leader, the dining table’s been wobbling so much it nearly tipped over today, and no one can eat with any peace of mind.
498 | 在餐桌上吃饭时注意点就行，不要小题大作。 | Just mind your manners at the table, no need to make a big deal out of it.
499 | 可是餐桌真的随时会散架…… | But the dining table really could fall apart at any moment..
500 | 我尽快安排换新的，绝对不能影响大家吃饭。 | I’ll get a replacement sorted as soon as I can—we can’t let anything get in the way of everyone eating.
