你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第3批，共4批）---

ID | 原文 | 译文
1381 | 开服冲刺说明 | Power Rush Overview
1382 | 尸潮来袭 | Horde Onslaught
1383 | 土拨鼠领袖军衔说明 | Marmot Leader Rank Description
1384 | 战力详情 | Power Details
1385 | 战场补给说明 | Battlefield Supplies
1386 | 邀请迁城说明 | City Relocation Invitation Notice
1387 | 属性来源说明 | Attribute Source Description
1388 | 联盟列车说明 | Alliance Train Instructions
1389 | 居民满意度说明 | Resident Satisfaction Overview
1390 | 集结队长说明 | Rally Captain Instructions
1391 | 累充活动说明 | Cumulative Top-up Events Description
1392 | 联盟成就说明 | Alliance Achievement Description
1393 | 联盟投票说明 | Alliance Voting Instructions
1394 | 农作物说明 | Crop Description
1395 | 守卫避难所玩法说明 | Shelter Defense Gameplay Instructions
1396 | 时空回响活动说明 | Echoes of Time Event Description
1397 | 时空挑战活动说明 | Time-Space Challenge Event Description
1398 | 加速说明 | Speedup Info
1399 | 生产力说明 | Productivity Guide
1400 | 钻石投资说明 | Gems Investment Guide
1401 | 订阅推送说明 | Subscription Push Description
1402 | 自动采集说明 | Auto Gathering Guide
1403 | 掠夺资源说明 | Resource Plundering Guide
1404 | 自动出征说明 | Auto Dispatch Instructions
1405 | 生存试炼说明 | Survival Trial Instructions
1406 | 英雄共鸣规则 | Heros Resonance Rules
1407 | 七日行动说明 | Trials Description
1408 | 擂台争霸令 | Ring Clash Pass
1409 | 领地宣战说明 | Territory War Instructions
1410 | 清剿狼群说明 | Slay the Wolves Instructions
1411 | 规则简介 | Rules Overview
1412 | 阶段宝箱奖励 | Stage Chest Rewards
1413 | 同盟比分获胜 | Alliance victory by score
1414 | 参战条件 | Participation Requirements
1415 | 活动流程 | Events Flow
1416 | 联盟对决自选礼包说明 | Alliance Duel Select Pack Instructions
1417 | 军火库装备 | Armory Equipment
1418 | 居民管理说明 | Resident Management Guide
1419 | 装饰物陈列室说明 | Art Gallery Decoration Description
1420 | 寻宝遗迹 | Treasure Site
1421 | 重伤的部队会被送到军医所等待治疗。若军医所达到容量上限后，无法继续容纳重伤的部队，则多余的重伤部队会因此身亡。 | Severely wounded troops will be sent to the Infirmary to await treatment. If the Infirmary reaches its maximum capacity and can no longer take in more severely wounded troops, any excess severely wounded troops will die.
1422 | 1.您可以将医院中重伤的部队遣散，从而提升医院的容量\n2.正在治疗中的部队无法被遣散 | 1.You can dismiss severely wounded troops from the Infirmary to increase its capacity\n2.Troops that are currently being treated cannot be dismissed
1423 | 累计登陆天数越多，能获得的统帅点数越多 | The more days you log in, the more VIP XP you can earn
1424 | 1.每种礼包每日限购一次，次日刷新\n2.一次性购买三合一礼包可以享受更多折扣，单独购买任意档位礼包后无法进行一次性购买操作，需等待次日刷新\n3.土拨鼠领袖可以选择不同的英雄进行购买\n4.可选择的英雄会不定期增加，敬请期待！ | 1. Each type of Pack can be purchased once a day, and will refresh the next day\n2. Buying the 3-in-1 Pack in a single purchase gives you a bigger discount. After buying any tier of Pack separately, you can no longer make the one-time purchase and must wait for the daily reset\n3. Groundhog Leaders can choose different Heros to purchase\n4. More selectable Heros will be added from time to time, stay tuned!
1425 | 1.每位土拨鼠领袖仅可购买一次进化之路礼包\n2.提升时代可以获得免费奖励，购买成功后解锁更多丰厚奖励 | 1.Each Groundhog Leader can only purchase the Path of Evolution Pack once\n2.Upgrade your Era to claim free rewards, and unlock more lucrative rewards after purchasing
1426 | 1.土拨鼠领袖可以通过挑战并战胜其他土拨鼠领袖获得积分，根据积分确定排名，最后根据排名获得奖励。\n2.主动挑战对手时取胜，积分提升；战斗失败，积分不变。被挑战的土拨鼠领袖，防守胜利时积分不变，但防守失败积分将会下降。\n3.每日、赛季奖励将会通过邮件发放，请注意查收。\n4.赛季持续一周，赛季结束后，积分将会清除。土拨鼠领袖需要在下赛季重新挑战获取积分。\n5.每周赛季结束后，将回收清除所有竞技场挑战券，请土拨鼠领袖留意赛季结束时间，在赛季结束前使用本赛季获得的挑战券。 | 1.Marmot Leaders can earn Points by challenging and defeating other Marmot Leaders. Ranks are determined based on Points, and rewards are granted according to your final Rank.\n2.When you actively challenge an opponent and win, your Points increase; if you lose the battle, your Points stay the same. If a Marmot Leader is challenged by others, their Points stay the same on a successful defense, but will decrease if the defense fails.\n3.Daily and Season rewards will be sent via Mail. Please remember to check it.\n4.Each Season lasts one week. After the Season ends, all Points will be reset. Marmot Leaders must challenge again in the next Season to earn new Points.\n5.After each weekly Season ends, all Arena Challenge Tickets will be reclaimed and cleared. Marmot Leaders should pay attention to the Season end time and use any Challenge Tickets obtained this Season before it ends.
1427 | 1.活动的每个阶段期间，可根据积分累计或完成任务条件获得对应任务奖励\n2.每个阶段结束后，可根据阶段排行榜获得对应排名奖励；排名奖励均通过邮件发放，请注意查收~\n3.活动结束时，会根据土拨鼠领袖在各个阶段获取的积分总和进行排名，并发放对应的排名奖励。 | 1.During each phase of the Events, you can get the corresponding task rewards based on your accumulated Points or by meeting the task completion conditions\n2.After each phase ends, you can get the corresponding Rank rewards based on the phase Rankings; Rank rewards are all sent via Mail, so please remember to check~\n3.At the end of the Events, Groundhog Leaders will be ranked based on the total Points they earned across all phases, and the corresponding Rank rewards will be issued.
1428 | 1.购买后七日内，每天可领取定制奖励\n2.期间可以随时更换每日奖励内容，切换周卡页签即可 | 1.Within seven days after purchase, you can claim a custom reward every day\n2.During this period, you can change the daily reward at any time by switching the Weekly Card tab
1429 | 活动期间，前5天，每天开启3类新的任务，完成任务可获得信物积分，累计信物积分可以领取活动进度宝箱奖励。 | During the event, for the first 5 days, 3 new types of quests will be unlocked each day. Complete quests to earn Token Points, and accumulate Token Points to claim event progress chest rewards.
1430 | 1.每位土拨鼠领袖仅可购买一次成长基金\n2.购买成功后，{buildtype_101}达到指定等级后，即可领取对应数量的钻石 | 1.Each Groundhog Leader can only purchase the Growth Fund once\n2.After a successful purchase, once {buildtype_101} reaches the required Level, you can Claim the corresponding amount of Gems
1431 | 1.土拨鼠领袖可以在时代副本中击败怪物、开启宝箱，以获取丰厚的奖励，并在离开副本时带出\n2.在副本中获取的木材和铁矿，无法带出副本 | 1. The Groundhog Leader can defeat monsters and open chests in the Era Instance to earn generous rewards and take them out of the instance when leaving\n2. Any Wood and Iron obtained in the instance cannot be taken out of the instance
1432 | 1.战斗中重伤的士兵数量超过医院容量上限时，无法进入医院的士兵将会死亡。其中一定比例的部队将会进入生化医院\n2.土拨鼠领袖可以通过使用复生剂复活生化医院中的士兵，复活后将立即获得对应等级的部队\n3.复生剂达到上限后，将不会再增加 | 1.When the number of severely wounded soldiers in battle exceeds the Infirmary capacity limit, any soldiers who cannot enter the Infirmary will die. A certain proportion of these soldiers will enter the Biohazard Hospital\n2.The Groundhog Leader can use Revival Syringe to revive soldiers in the Biohazard Hospital, and the corresponding level of troops will be obtained immediately after revival\n3.Once the Revival Syringe reaches its limit, it will no longer increase
1433 | 1.生化医院存在容量上限，达到上限后将无法接收死亡的士兵，无法接收的士兵将会彻底消失\n2.请及时复活部队，确保生化医院中有较为充足的空间 | 1.The Biohazard Hospital has a capacity limit. Once it is full, it can no longer receive dead soldiers, and any soldiers it cannot receive will disappear permanently\n2.Please revive your troops in time to keep enough space available in the Biohazard Hospital
1434 | 作为联盟的管理者，您需要慎用自己的权利。驱逐是对成员最大的惩罚，升级/降级是激励联盟成员努力的有效方法。 | As the Alliance leader, you need to exercise your authority with care. Expelling is the harshest punishment for any member, while upgrading/demoting is an effective way to motivate Alliance members to keep striving.
1435 | 1.联盟成员之间可以 互相帮助建造和升级建筑、研究科技、治疗部队，帮助时间受联盟中心的等级和联盟科技影响。\n2.帮助成员可以获得积分，每日积分获取上限为10000分。 | 1.Alliance members can help each other construct and Upgrade buildings, conduct Research, and heal troops. The help duration is affected by the Alliance Center level and Alliance Tech.\n2.Helping members grants Points, with a daily limit of 10000 Points.
1436 | 1.当您的避难所遭遇敌袭并防守失败后，将会损失城防耐久值。当耐久值归零后，避难所将会被随机调整到其他位置。\n2.每秒可以恢复一定比例的城防耐久，直到耐久恢复完毕。\n3.提升防御塔等级可以提升耐久值的上限。\n4.默认使用您的第一编队作为防御避难所的英雄阵容。 | 1.After your Shelter is attacked and your Defense fails, you will lose City Defense Durability. When Durability reaches 0, your Shelter will be randomly moved to another location.\n2.A certain percentage of City Defense Durability is restored every s until it is fully recovered.\n3.Upgrading your Defense Tower increases the maximum Durability.\n4.By default, your first Formation队 is used as the Heros lineup to defend the Shelter.
1437 | 1.护卫炮塔将会在您的避难所遭遇敌袭时，攻击敌人。\n2.战斗结束后，护卫炮塔损耗的部队将会立即补充完毕。\n3.提升护卫炮塔等级可以提升携带的部队等级与上限，给予敌人有效的打击 | 1.Escort Turrets will Attack enemies when your shelter comes under attack.\n2.After the battle, any troops lost by Escort Turrets will be immediately replenished.\n3.Upgrading Escort Turrets increases the level and capacity of their carried troops, allowing them to strike enemies more effectively
1438 | 1.活动期间，根据土拨鼠领袖击败{num1}~{num2}级海怪的先后排名，发放对应的奖励。每一等级的排名奖励仅可获取一次。\n2.土拨鼠领袖击败特定等级下任意形态的海怪，即算作通关。\n3.活动结束后，土拨鼠领袖仍然可以击败海怪，但无法再获取排名奖励。 | 1.During the Event, rewards will be distributed based on the Rank order in which Groundhog Leaders defeat level {num1}~{num2} Sea Monsters. Each level’s Rank reward can only be claimed once.\n2.When a Groundhog Leader defeats any form of a Sea Monster at a specific level, it counts as clearing that level.\n3.After the Event ends, Groundhog Leaders can still defeat Sea Monsters, but can no longer obtain Rank rewards.
1439 | 1.世界地图上的资源点包含3种基础资源，粮食、金币、铁矿。\n2.资源点等级越高，资源储量越高，采集速度越快。\n3.占领领地，可以提升成员在该领地中的采集速度。\n4.采集资源需要英雄携带与资源点储量相匹配部队数量，提升英雄等级来增加部队容量吧。 | 1.There are 3 basic resource types on resource nodes on the world map: Food, Gold, and Iron.\n2.The higher the level of a resource node, the greater its reserves and the faster the gathering speed.\n3.Occupying territory increases members’ gathering speed within that territory.\n4.To gather resources, heros must lead a number of troops that matches the node’s reserves. Level up your heros to increase troop capacity.
1440 | 【发起集结】\n1.修复情报船后，可以通过发起集结与联盟盟友一同发起进攻。\n2.发起集结的部队必须处于空闲状态。\n3.集结等待时间结束后，队伍将自动出发。\n4.可以集结的盟友数量，可以通过提升集结大厅等级增加。\n5.集结的盟友英雄也会为集结提供伤害加成。\n6.发起集结的土拨鼠领袖可以给加入集结的盟友提供伤害加成，土拨鼠领袖军衔等级越高，伤害加成越高。\n\n【加入集结】\n1.加入集结必须派遣处于空闲状态的部队，且部队需要在集结剩余时间内赶到发起集结的盟友避难所中。\n\n【集结战斗规则】\n1.所有集结队员的加成属性，跟集结队长一致。\n2.发起集结时，队长为发起集结的队列；驻守时，队长为队列战力最高的玩家队列。\n3.集结战斗结束后，集结士兵的击败和受伤跟出兵状况有关。 | 【Initiate Rally】\n1.After repairing the Intel ship, you can initiate a Rally to attack together with your Alliance allies.\n2.The troops that initiate a Rally must be idle.\n3.Once the Rally wait time ends, the troops will march automatically.\n4.The number of allies that can join a Rally can be increased by upgrading the Command Center.\n5.Allies’ Heros in the Rally also provide a damage bonus to the Rally.\n6.The Marmot Leader who initiates the Rally can provide a damage bonus to allies who join the Rally; the higher the Marmot Leader’s rank, the higher the damage bonus.\n\n【Join Rally】\n1.To join a Rally, you must dispatch idle troops, and they must reach the Rally leader’s Shelter before the Rally countdown ends.\n\n【Rally Battle Rules】\n1.All Rally members’ bonus attributes are the same as the Rally leader’s.\n2.When initiating a Rally, the leader is the marching queue that started the Rally; when garrisoning, the leader is the player queue with the highest Power.\n3.After the Rally battle ends, the number of defeated and wounded Rally soldiers depends on their deployment status.
1441 | 1.加入联盟即可参与联盟总动员活动。\n2.土拨鼠领袖初始拥有10次免费任务次数，免费任务次数未达上限时，每8小时恢复1次；土拨鼠领袖也可以使用钻石购买额外任务次数，每日可购买3次。\n3.土拨鼠领袖可以在任务列表中接取任务，如果放弃已接取的任务，将不会退还任务机会。\n4.联盟官员及以上职位的成员可以刷新公共任务，刷新15分钟后将刷新一个新任务。\n5.土拨鼠领袖拥有2个个人任务槽位，完成个人任务将会获得额外的积分加成。如果对任务不满意，土拨鼠领袖可以刷新个人任务。个人任务的刷新时间更快。\n6.每个个人任务槽位，当天完成任务数超过2个后，需要到次日0点自动刷新出新的任务。 | 1.Join an Alliance to participate in the Alliance Mobilization Event.\n2.The Marmot Leader initially has 10 free task attempts. When the free task attempts are below the limit, 1 attempt is restored every 8h; the Marmot Leader can also use Gems to purchase extra task attempts, up to 3 purchases per day.\n3.The Marmot Leader can accept tasks from the task list. If you abandon an accepted task, the task attempt will not be refunded.\n4.Alliance members with Officer or higher rank can refresh Public Tasks, and 15 minutes after refreshing, a new task will appear.\n5.The Marmot Leader has 2 Personal Task slots. Completing Personal Tasks grants extra Points bonuses. If not satisfied with the tasks, the Marmot Leader can refresh the Personal Tasks. Personal Tasks refresh faster.\n6.For each Personal Task slot, after completing more than 2 tasks in a day, you must wait until 00:00 the next day for new tasks to refresh automatically.
1442 | 1.征服之路活动分多期依次开启，土拨鼠领袖可以完成当前进行中的活动任务。\n2.本活动需要土拨鼠领袖大人加入联盟并与盟友一同攻打城池，个人任务达成即可领取奖励 | 1.The Fortress Battle Events will open in multiple phases one after another, and Marmot Leaders can complete the Event tasks that are currently in progress.\n2.To participate in this Event, Marmot Leaders must join an Alliance and attack fortresses together with their allies; rewards can be claimed once the personal tasks are completed
1443 | 1.奇观争夺分多期开启，每期活动会有三个联盟参与，排名与奖励独立。\n2.活动分为争夺和拍卖两部分，活动当天晚8点开启争夺活动，晚8点30开启拍卖活动。\n3.争夺期共30分钟，前15分钟为第一阶段，地图上会开放4座奇观建筑给所有联盟，各联盟可以随意迁城前往争夺；后15分钟为第二阶段，额外开放1座中心奇观建筑。\n4.争夺期内，入驻任意奇观建筑的联盟，会根据入驻时间每秒获得联盟积分；同时参与入驻的玩家会根据入驻时间每秒获得少量个人积分。争夺期最后一秒入驻在奇观内的联盟可以获得额外联盟积分。\n5.争夺期内，玩家攻打或防守奇观建筑时，会根据自身攻击对其他玩家造成的部队损伤以及自己的部队损伤获得个人积分；同时可以为联盟获得少量联盟积分。\n6.根据争夺期获得的个人积分，玩家可以领取个人任务奖励。\n7.根据争夺期的联盟积分，确定本次活动的联盟排名。\n8.根据联盟排名，每个联盟可以专属的个人排名奖励列表，盟内玩家根据个人积分比拼，领取个人排名奖励。\n9.根据联盟排名，每个联盟可以获得专属的联盟奖励，这些奖励会进入拍卖奖池，在盟内成员之间发起拍卖。\n10.拍卖期内，盟内成员可以花费钻石对拍卖道具进行竞价，拍卖活动结束时，当前出价最高的玩家获得道具，出价被超过的玩家会自动返还钻石。\n11.拍卖结束后，本次拍卖获得的钻石将均分给盟内所有参与本次争夺玩法的玩家。 | 1.The Wonder Contest opens in multiple rounds, with three Alliances participating in each round. Ranks and rewards are independent for each round.\n2.The Events are divided into Contest and Auction parts. On the Event day, the Contest starts at 8:00 p.m., and the Auction starts at 8:30 p.m.\n3.The Contest period lasts 30min. The first 15min is Phase 1, during which 4 Wonder buildings on the map are open to all Alliances, and Alliances can freely relocate their cities to contest them; the last 15min is Phase 2, during which 1 additional central Wonder building opens.\n4.During the Contest period, any Alliance stationed in any Wonder building gains Alliance Points every second based on its stationing time; participating players stationed there also gain a small amount of Personal Points every second based on their stationing time. The Alliance stationed in a Wonder in the final second of the Contest period gains extra Alliance Points.\n5.During the Contest period, when players Attack or defend Wonder buildings, they gain Personal Points based on the troop damage their own Attack inflicts on other players and the damage their own troops receive; at the same time, they also earn a small amount of Alliance Points for their Alliance.\n6.Based on the Personal Points gained during the Contest period, players can Claim Personal mission rewards.\n7.Based on the Alliance Points gained during the Contest period, the Alliance Rank for this round of the Event is determined.\n8.Based on the Alliance Rank, each Alliance has its own exclusive personal rank reward list. Members compete based on their personal Points and can Claim personal rank rewards.\n9.Based on the Alliance Rank, each Alliance can obtain exclusive Alliance rewards. These rewards will be added to the auction prize pool and auctioned among Alliance members.\n10.During the auction period, Alliance members can spend Gems to bid on auction items. When the auction ends, the player with the highest current bid obtains the item, and any player whose bid is outbid will automatically have their Gems returned.\n11.After the auction ends, the Gems obtained from this auction will be evenly distributed among all Alliance members who participated in this mode.
1444 | 1.土拨鼠领袖可以使用幸运币进行抽奖，幸运币可以通过购买礼包、钻石兑换等途径获得。\n2.土拨鼠领袖当期活动累计抽奖达到一定次数后可领取累计抽奖奖励。\n3.活动结束后，未使用的幸运币将会被回收转化为等价值的钻石。 | 1. Marmot Leaders can use Lucky Coins to draw rewards. Lucky Coins can be obtained from purchasing Packs, exchanging Gems, and other methods。\n2. During the current Events, once a Marmot Leader’s total number of draws reaches certain thresholds, they can Claim cumulative draw rewards。\n3. After the Events end, any unused Lucky Coins will be reclaimed and converted into Gems of equal value。
1445 | 活动期间，每天开启新的任务，完成任务可获得奖励，并兑换时空招募芯片，用于时空回响活动 | During the Events period, new quests unlock every day. Complete quests to earn rewards and exchange them for Spacetime Recruitment Chips, which are used in the Spacetime Echoes Events
1446 | 1.土拨鼠领袖可以通过消耗灵感点数研究天赋科技，获得独一无二的主动技能和巨大属性提升，升级天赋研究所可以获得灵感点数。\n2.主动技能解锁后需要消耗天赋石来使用，所有技能共用天赋石。\n3.通过开启每日任务宝箱可以获得天赋石，天赋石的存储有上限，请土拨鼠领袖及时使用。 | 1. As a Groundhog Leader, you can consume Inspiration Points to research talent techs, gaining unique active skills and massive attribute boosts. Upgrade the Talent Research Institute to get Inspiration Points.\n2. Once an active skill is unlocked, you need to consume talent stones to use it, and all skills share the same pool of talent stones.\n3. You can get talent stones by opening Daily Quests chests. Talent Stones have a storage limit, so Groundhog Leaders should use them in time.
1447 | 1.在核能基地开启争夺前，各联盟无法对核能基地发起攻击。\n2.当核能基地开放争夺后，所有的联盟均可攻打。 | 1.Before the Nuclear Base Conquest begins, no Alliance can launch an Attack on the Nuclear Base.\n2.Once the Nuclear Base Conquest is open, all Alliances can Attack it.
1448 | 1.世界进程将随时间推进，倒计时结束后，将会进入下一个进程。\n2.若在规定时间内完成进程任务，可以在倒计时结束后领取相应的任务奖励。 | 1.The world stage will progress over time, and when the countdown ends, it will move on to the next stage.\n2.If you complete the stage mission within the allotted time, you can claim the corresponding mission rewards after the countdown ends.
1449 | 1.一般情况下，4名官员拥有弹劾盟主的权利，若联盟官员成员不足4名，则会在核心成员中按战力取玩家赋予权利，以此类推。\n2.发起盟主弹劾后，所有官员均会收到弹劾邮件，若官员成员不足4名，则核心成员也会收到弹劾邮件。\n3.根据收到弹劾邮件的人数，超过60%的人同意弹劾，则可弹劾成功，发起弹劾的玩家将会成为新任盟主。若弹劾失败，则36小时内，无法再次发起弹劾。\n4.投票的有效期为8小时，8小时内未投票，视为不同意弹劾。\n5.弹劾投票期间，盟主暂时无法行使调整成员的权限。 | 1.Under normal circumstances, 4 Officers have the right to impeach the Alliance Leader. If there are fewer than 4 Alliance Officers, this right will be granted to players among the Core Members in order of their Power, and so on.\n2.After an impeachment against the Alliance Leader is initiated, all Officers will receive an impeachment Mail. If there are fewer than 4 Officers, Core Members will also receive the impeachment Mail.\n3.Based on the number of players who received the impeachment Mail, if more than 60% agree to the impeachment, it will succeed and the player who initiated it will become the new Alliance Leader. If the impeachment fails, no new impeachment can be initiated within 36h.\n4.The voting is valid for 8h. If you do not vote within 8h, it will be considered as disagreeing with the impeachment.\n5.During the impeachment voting period, the Alliance Leader is temporarily unable to adjust members.
1450 | 1.活动期间，土拨鼠领袖进行高级招募或阵营招募，可以积累招募次数完成对应的任务。\n2.根据招募总次数进行排名，并在活动结算时发放排名奖励。\n3.常规招募不计入招募次数 | 1.During the Event, when the Groundhog Leader performs Advanced Recruitment or Faction Recruitment, the recruitment count will accumulate toward the corresponding tasks.\n2.Rank is determined by the total number of recruitments, and Rank rewards are issued when the Event ends.\n3.Standard Recruitment does not count toward the recruitment total
1451 | 填充同兵种、同部位橙色装备或对应精粹可进行升阶 | Fill all slots with orange gear of the same unit type and slot, or with the corresponding Essence, to rank up
1452 | 1.土拨鼠领袖必须加入联盟。\n2{buildtype_101}等级必需达到<font color =#ee8701>12</font>级以上。\n3.联盟至少有<font color =#ee8701>10</font>名成员报名。\n4.联盟等级必需达到<font color =#ee8701>3</font>级以上。 | 1. the Groundhog Chief must join an Alliance.\n2{buildtype_101}The level must be <font color =#ee8701>12</font> or higher.\n3. The Alliance must have at least <font color =#ee8701>10</font> members signed up.\n4. The Alliance level must reach <font color =#ee8701>3</font> or above.
1453 | 【报名阶段】\n1.土拨鼠领袖必须<font color =#ee8701>个人自行报名</font>参加炮舰对决活动，报名时需选择参战分路，并配置好部队。\n2.报名参战的部队不会占用出征队列，且<font color =#ee8701>在本次活动不会产生部队伤亡！</font>\n3.每条分路参战的部队数量有上限，战力高的部队将获得优先参战的权力。\n4.联盟参赛后，所有报名的成员均可获得奖励，包括报名但部队未出战的土拨鼠领袖。\n5.报名人数不足的联盟无法参赛。\n \n【匹配阶段】\n1.段位相近的6个联盟将随机分配至一个小组。\n2.报名成功的联盟，在活动结束前<font color =#ee8701>无法解散</font>。\n3.若报名成功的土拨鼠领袖在非报名阶段退出联盟，其在原有联盟报名的部队将继续参战，但该土拨鼠领袖不会获得奖励。\n4.若报名阶段结束存在无部署部队的分路，则在报名阶段结束后，自动调整其他分路部分的部队至此分路。\n \n【整备阶段】\n1.炮舰对决活动会以小组<font color =#ee8701>循环赛</font>形式进行，每个联盟将进行5轮对决，分别对战组内其他5个联盟。\n2.在每一轮对决前（整备期），盟主以及官员可以<font color =#ee8701>调整3条分路出战的部队。</font>\n3.位于原生盟的土拨鼠领袖可以进行补充报名和更新部队。\n \n【战斗阶段】\n1.战斗时，双方联盟争夺3路旗帜。\n2.每一条分路上，双方部队都会轮流出战，胜者将以剩余兵力迎战敌方下一部队，每支部队最多战斗3次。\n3.率先将敌方一分路上的部队全数击败的联盟获得分路胜利，并夺得旗帜。\n4.夺得旗帜数量多的联盟获得胜利，胜局数+1。\n \n【展示阶段】\n1.完成5轮对决后，根据小组内各联盟的比赛成绩进行排名，并按照名次给予参赛的土拨鼠领袖奖励（奖励将直接发放至土拨鼠领袖个人邮箱中）。\n2.根据<font color =#ee8701>小组内联盟的胜局数由高到低确定联盟名次</font>，若胜局数一样则依次根据联盟的夺旗总数，杀敌数进行排名。 | 【Registration Phase】\n1. Groundhog Leaders must<font color =#ee8701>register for the Cannonboat Duel Event</font>on their own, and select a lane to fight on and set up their troops when registering.\n2. Troops registered for battle will not occupy any marching queue, and<font color =#ee8701>no troops will die in this Events!</font>\n3. Each lane has an upper limit on the number of participating troops; troops with higher Power will gain priority to enter battle.\n4. After the Alliance successfully enters the match, all registered members will receive rewards, including Groundhog Leaders who registered but whose troops did not enter battle.\n5. Alliances with insufficient registered members cannot participate.\n \n【Matchmaking Phase】\n1. Six Alliances with similar ranks will be randomly placed into one group.\n2. Alliances that successfully register<font color =#ee8701>cannot be disbanded</font>before the Events ends.\n3. If a Groundhog Leader who successfully registered leaves the Alliance outside the registration phase, their troops registered in the original Alliance will still fight, but that Groundhog Leader will not receive any rewards.\n4. If any lane has no deployed troops after the registration phase ends, some troops from other lanes will be automatically reassigned to this lane once registration ends.\n \n【Preparation Phase】\n1.The Gunboat Duel Events<font color =#ee8701> will be in a round-robin</font> format. Each Alliance will play 5 rounds of Duels, facing each of the other 5 Alliances in the group.\n2.Before each round of Duel, during the（ Preparation Phase）, the Alliance Leader and Officers can<font color =#ee8701> adjust the troops deployed on the 3 lanes.</font>\n3.Groundhog Leaders in their original Alliance can submit additional registrations and update their troops.\n \n【Battle Phase】\n1.During battle, the two Alliances fight over 3 flag lanes.\n2.On each lane, both sides’ troops will fight in turn. The winner will carry over its remaining forces to face the next enemy troop, and each troop can fight up to 3 times.\n3.The first Alliance to defeat all enemy troops on a lane wins that lane and captures its flag.\n4.The Alliance that captures more flags wins the Duel, and its win count +1.\n \n【Display Phase】\n1.After completing 5 rounds of Duels, Alliances in the group will be Ranked according to their match results, and rewards will be granted to participating Groundhog Leaders based on their Rank（Rewards will be sent directly to the Groundhog Leaders’ personal mailboxes）.\n2.Alliances in the group are ranked from highest to lowest by number of wins<font color =#ee8701></font>. If the number of wins is the same, they are ranked in order of total flags captured and then kills.
1454 | 1.循环赛每轮战斗结束发放击杀奖励，参战的土拨鼠领袖根据击败的部队数量结算奖励。\n2.击败1支部队获得首杀奖励，击败2支部队获得双杀奖励，击败3支部队获得三杀奖励。\n3.若参战的土拨鼠领袖未被敌方击败，则自动获得三杀奖励。 | 1.Kill rewards are granted at the end of each round in the Round-robin Battle, and participating Marmot Leaders receive rewards based on the number of enemy units they defeat.\n2.Defeat 1 enemy unit to gain the First Kill reward, 2 enemy units to gain the Double Kill reward, and 3 enemy units to gain the Triple Kill reward.\n3.If the participating Marmot Leaders are not defeated by the enemy, they automatically receive the Triple Kill reward.
1455 | 1.{buildtype_101}部件分为火炮、装甲、引擎三个系统，分别对应英雄攻击、防御、生命加成，提升系统阶级进度可以在增加对应属性\n2.系统阶级进度满后，再次升级可以提升系统等级。三个系统均升级到某一等级后，{buildtype_101}阶级会自动升级并提供额外的加成。\n3.三个系统等级上限受到当前{buildtype_101}建筑等级的限制，土拨鼠领袖大人可先升级{buildtype_101}进度提升部件系统的等级上限。 | 1.{buildtype_101}Parts are divided into three systems: Cannon, Armor, and Engine, corresponding to Heros’ Attack, Defense, and Health bonuses. Increasing a system’s Tier Progress will increase the corresponding attribute.\n2. After a system’s Tier Progress is full, upgrading it again will increase the system’s Level. When all three systems reach a certain Level, {buildtype_101}the Tier will automatically increase and grant extra bonuses.\n3. The maximum Level of the three systems is limited by the current {buildtype_101}building Level. The Groundhog Leader can upgrade {buildtype_101}Progress first to raise the Level cap of the Parts systems.
1456 | 1.土拨鼠领袖大人需要在规定时间内，完成指定的任务以抵御海啸。\n2.规定时间内完成所有任务，即可领取奖励。\n3.未领取的奖励将会在倒计时结束通过邮件发放 | 1. As the Groundhog Leader, you must complete the designated missions within the time limit to fend off the tsunami.\n2. Complete all missions within the time limit to claim rewards.\n3. Any unclaimed rewards will be sent via Mail when the countdown ends
